comment,compound,positive,negative,neutral
"Using iPhone 16 for the last week. Didn’t find any difference from my earlier Redmi note lite, which is still continuing to work.  Had to get  iPhone to supplement my iPad in which I am using Goodnotes for study set and notes. I am a student i can view notes on iPhone during travel when it is not convenient to take iPad. If you are not studying or using any major apps in iPad which you need to view or refer, you may not need an iPhone.",0.0,0.0,0.0,1.0
My sister has the 11 so I think it’s a great upgrade for her,0.6249,0.24,0.0,0.76
Still no charger and you have to wait hour and 42 minutes to be fully charged. Stupidity beyond belief.,-0.7559,0.0,0.318,0.682
I thought the iphone 16 had a 48 MP camera??,0.0,0.0,0.0,1.0
Looks like a budget phone from the back,0.3612,0.263,0.0,0.737
a lot of monotonic stream of words. who are the people subscribing to this channel?,0.0,0.0,0.0,1.0
"😄If going to complain about the 60Hz refresh, should complain long ago about the old IPS which Apple had been using costing more than AMOLED screens. Don't be fooled, 90Hz and 120Hz Android phones often not better than 60Hz iPhone. Because those Android phones often can't run 60fps UI let alone 90fps and 120fps",-0.1833,0.113,0.138,0.749
We buy iphone every 5-7 years to feel the difference..,0.0,0.0,0.0,1.0
0:51 the TV in the back 😂,0.4404,0.259,0.129,0.612
Sulit na upgrade na po ba from iphone 11 to 16? Or go for 16 pro?,-0.6072,0.0,0.209,0.791
Later is coming my iphone 16 barbie pink📱💖💖,0.9153,0.561,0.0,0.439
goin to upgrade from 13mini to 16 😊,0.7184,0.375,0.0,0.625
Came here after getting an iphone16 128gb offer from GPlan... oo nga naman why buy the 128Gb one hindi naman mamamaximize yung phone kahit maganda pa ang features. Thanks for the honest review!,0.7574,0.173,0.0,0.827
Thanks for this review. ❤ I got my iphone 16 from iphone XR,0.7964,0.372,0.0,0.628
I'm stuck between iPhone 16 or iPhone 15 plus ano po mas maganda?,-0.6808,0.0,0.337,0.663
😊,0.7184,0.667,0.0,0.333
Nice review mary❤,0.7906,0.7,0.0,0.3
"Im confused, is 16 pro 120hz??",-0.3939,0.0,0.347,0.653
Review po ng Iphone 16e..😊,0.34,0.361,0.217,0.422
from 13 to 16 pro max. renew ng plan,0.0,0.0,0.0,1.0
from 13 to 16 pro max. renew ng plan,0.0,0.0,0.0,1.0
From iphone 8 plus to 16 :) kung hindi pa nasira ung lcd hindi ako mag rerecontract sa globe😅,0.6705,0.208,0.0,0.792
"Does this 16 plus, pro, promax have a sim card slot?",0.0,0.0,0.0,1.0
Ano pong tech gadget were you using filming this vlog? Tha video quality is brilliant!,0.6239,0.226,0.0,0.774
"Samsung Lets you take Control
While Apple Controls you! Simple as that, Sad but it's the reality",-0.3274,0.0,0.128,0.872
"As someone who came from a mid range android phone, 16 plus is a total upgrade! Tho i wanted the pro max, I have a budget limitation. But i think i’m already good with what I have.",0.5487,0.102,0.039,0.859
Ako na naka iphone 6 pa rin huhu,0.0,0.0,0.0,1.0
Watching this review again on my ip 11 hahahaha,0.0,0.0,0.0,1.0
"From iphone 7plus to 15, kung di pa nagpapalya 7p ko i will not upgrade as long as it is working pa 😅",0.3612,0.091,0.0,0.909
Which model would you go for🤔 SUBSCRIBE if you like tech content!,0.4199,0.177,0.0,0.823
Yes if i am spending 800 dollars i would spend another 200 to buy the best of the best. Period,0.9022,0.395,0.0,0.605
"U lucky your parents bought u 2 phones, kids 😂😂😂😂😂😂😂",0.9686,0.41,0.185,0.404
I think u got the iPhone 16. Pro max there buddy.,0.0,0.0,0.0,1.0
16 pro -6.3 inch,0.0,0.0,0.0,1.0
"आईफ़ोन में कई तरह की धातुओं का इस्तेमाल होता है, जिनमें एल्युमीनियम, तांबा, चांदी, सोना, टंगस्टन, निकल, और नीयोडिमियम जैसी शामिल हैं. इसके अलावा, आईफ़ोन में दुर्लभ मृदा तत्व भी होते हैं, जैसे कि यिट्रियम, टर्बियम, लैंटानम, नियोडिमियम, और डिस्प्रोसियम.",0.0,0.0,0.0,1.0
Can do the flash light thing on older phones it’s just a beta program update,0.0,0.0,0.0,1.0
How 16 pro battery life?,0.0,0.0,0.0,1.0
"I just got the iPhone 16 pro from the iPhone SE 2, feels so smooth 😮‍💨",0.0,0.0,0.0,1.0
"No innovation, anybody buying this just shows how unintelligent of a customer they are",-0.6351,0.0,0.302,0.698
My aamsung a15 literally cost 200 and has 90 hz when iphone 16 cost 800 and has 60hz 😂,0.4404,0.142,0.071,0.787
Bro just buy samsung a55 5g 😅,0.3612,0.217,0.0,0.783
"Thats Pro Max, not Pro",0.0,0.0,0.0,1.0
iPhone 16 looks like Android🤣 why changed the camera..,0.6908,0.322,0.0,0.678
Literally just a software update,0.0,0.0,0.0,1.0
I have the iPhone 16 pro max love already keeping it,0.6369,0.296,0.0,0.704
Bruh of course iPhone 16 pro better than iPhone 16🗿,0.4404,0.225,0.0,0.775
Straight to the point! Man i love shorts.,0.75,0.516,0.0,0.484
I have the 11 in purple and been wanting the 16 pro in white for a while and I’ve saved up for it so this just convinced me to buy it lol,0.8207,0.228,0.0,0.772
It's too big for my tiny hands i wish if there is a smaller version,0.4019,0.162,0.0,0.838
nanood ako para maingit,0.0,0.0,0.0,1.0
Masaya ako sa purchase ko after iphone xr. That’s nice and no regret rather than buying flagship Samsung. Quite smooth kahit 60 Hz siya. Well-compensated naman siya ng new apple chip.,0.6738,0.189,0.0,0.811
Baligtad yta d b iphone ang iyak sa samsung,0.0,0.0,0.0,1.0
Mas maganda ang iphone kasi american brand 😊😊,0.9001,0.48,0.0,0.52
bros glazing the product,0.0,0.0,0.0,1.0
Patawa ka boi samsung display lang din naman yan e tsaka bulok ecosystem nyan compare sa samsung e camera lang naman Habol ng mga bading dyan....,0.0,0.0,0.0,1.0
"I've been a Samsung Flagship user for as long as I can remember. And sabi ko I might consider iPhone pag nag redesign lang sila. And since medyo disappointing yung S25Ultra, kaya last week iPhone 16+ nlng binili ko. Pero secondary phone ko pa din tong iPhone. Primary ko pa din is yung S23 Ultra ko. Boring kasi ng ios. haha! Mas madami ka pa din pwede magawa sa Android not to mention apk files.",-0.5983,0.053,0.1,0.847
iiyak din bulsa mo dito!,0.0,0.0,0.0,1.0
Single sim with esim yan boss?,0.0,0.0,0.0,1.0
Di pa pala sim-free jan sa Pinas,0.0,0.0,0.0,1.0
I almost skipped the vid coz of the annoying pic. But he’s a nice guy naman pala. Just hope he’s front image (if that’s how you call it) matches his nice personality,0.886,0.274,0.045,0.681
Ako na naka iphone 6 parin huhu,0.0,0.0,0.0,1.0
Red magic lang malakas,0.0,0.0,0.0,1.0
misinformation ka po lods walang iphone 11 mini😂,-0.4588,0.184,0.379,0.437
"one thing you’ll always see/hear in his review are positive comments in the phone/tablet he's reviewing, never the cons",0.5574,0.167,0.0,0.833
I am iphone 16 users,0.0,0.0,0.0,1.0
Mas maganda parin ang cammera ng s25 kesa jan try nyo sa kabe try mo dali ikumpara mo ung 15 or 16 mo sa s22 at s25 sali para malaman mo ang pinag kaiba,0.0,0.0,0.0,1.0
"Sulit yan, iphone 16 base model , black color.. napaka semple lang..",0.0,0.0,0.0,1.0
Ang pangit talaga ng iPhone overhyped lang pero wala binatbat sa china phones lalo na as picture,0.0,0.0,0.0,1.0
comedy tlga to pg nag review..🤣😅👍,0.6908,0.346,0.105,0.549
does it even have .5 for $600,0.0,0.0,0.0,1.0
I will  not buy a phone like that  în 2025 .The screen is one 60 hrz and the noch is ugly,-0.2023,0.101,0.133,0.766
Best 2010 phone 😂,0.7964,0.537,0.128,0.336
"Alwasys a fan of GSM Arena for integrity, this seems kind of off to me.",0.5994,0.274,0.0,0.726
Waste of money,-0.4215,0.0,0.583,0.417
Better than a buggy android for sure,0.6369,0.51,0.0,0.49
Apple think 💬 lets make a joke tadaaaaaa iphone 16eeewwwww 😢,-0.2263,0.135,0.19,0.675
"That throttling is damn quick, you'll only get the best performance for a very short burst.",0.3612,0.201,0.129,0.67
They should name it iphone xr 2 so no one complain for the price increase. 😂😂😂,0.8593,0.352,0.188,0.46
Lots of stupidity in these comments.,-0.4404,0.0,0.367,0.633
"I moved from Xr to 16e, felt like exactly the upgrades needed for my phone at the price of 50k ₹ including exchange, after 6 years of usage. I’ve been using iPhone since 14 years and I’ve lots of data on iCloud, well my budget for my phone will always be 50k, getting an iPhone within that price is more than sufficient for me",0.5574,0.069,0.0,0.931
Apple Mafia 👎🏻,0.0,0.0,0.0,1.0
"Iphone 16""e""xpensive for no apparent reason.",-0.296,0.0,0.306,0.694
Who's here in 2016?,0.0,0.0,0.0,1.0
iPhone 4 lookin ahh,0.0,0.0,0.0,1.0
This iPhone doesn't have expandable storage? None of the iPhones over the years ever have!!!,0.0,0.0,0.0,1.0
coming from ipX and huawei p30. Is it worth it to buy this 16e over 13 both brandnew? Since in our country only official reseller only and no apple. I really dont need the extrea features. I just want a phone that works well for a long period of time.,0.2732,0.099,0.041,0.86
"Pathetic battery, 60 hz display, 800 nits, slow charging 

For $599 -- sure, Apple! 🤮",-0.4003,0.113,0.197,0.69
Regurgitated crap,-0.3818,0.0,0.722,0.278
"S,🥦🥑",0.0,0.0,0.0,1.0
better battery = better phone.  16e all day.,0.7003,0.492,0.0,0.508
125 GB iPhone 16 😂😂. Very unusual of Aaron to make such error. But great video as always ❤,0.9382,0.378,0.11,0.512
"16e, save $200 without pay for some functions i don't care",0.2187,0.297,0.174,0.529
"Neither, get a refurb iPhone 15 Pro.",0.0,0.0,0.0,1.0
@zollotech how to clean type c port filled with dust ?,0.4019,0.213,0.0,0.787
"I would not order a 16e as I am using an iPhone 📲 16 Pro and love ❤️ the camera features and performance. It would be a downgrade. Great video, Aaron!",0.8622,0.207,0.0,0.793
"I thought the 16e had optical stabilization as well, just not the one with sensor shift?",0.2732,0.123,0.0,0.877
16e display is missing LTPO which might be why you find it harder to look at w.r.t. PWM,-0.296,0.0,0.115,0.885
Nice video,0.4215,0.737,0.0,0.263
I am using iPhone XR how to save battery in sunlight,0.4939,0.242,0.0,0.758
In sun light my battery drain so fast,0.0,0.0,0.0,1.0
in europe 699€ for the 16e 128gb. thats redigilous!,0.0,0.0,0.0,1.0
None,0.0,0.0,0.0,1.0
don’t buy iphone 16e,0.0,0.0,0.0,1.0
Both with their own disadvantage,-0.4215,0.0,0.412,0.588
I think the 16e is a great device. Yes the price is fairly expensive but everything has gone up in price and you have to look at what’s inside it. Amazing battery life OLED screen at end of the day it’s an iPhones and iPhones are not cheap they are a luxury item.,0.8625,0.161,0.0,0.839
"Hear me out, Get the regular iPhone 15 and call it a day. You will never notice anything different in day to day use.",0.0,0.0,0.0,1.0
So yourself a favour if thinking of getting the 16e due to budget and buy a refurbished iPhone 15Pro or Pro max for same price. If you do need a new 16 phone go for 16 . The lack of wifi 7 makes a massive difference also,0.2177,0.063,0.046,0.892
i will buy iphone 15.,0.0,0.0,0.0,1.0
I got the 16 pro max because I care about having the best possible camera. 🥲,0.8126,0.346,0.0,0.654
Sorry panget ng audio naten dito!!! Nakalimutan ko on ung noise cancelling ng DJI 🙃,-0.4545,0.0,0.221,0.779
apple ran out of idea,0.0,0.0,0.0,1.0
Waiting po sa xiaomi 15 ultra at xiaomi 15 pro😅,-0.2732,0.138,0.199,0.663
Well I just got my 16e today❤,0.743,0.474,0.0,0.526
samsung a36 review po☺️,-0.1531,0.283,0.34,0.377
Dapat ung tinawag nila dito iphone xr 2 para wala masyadong magrereklamo,0.0,0.0,0.0,1.0
Lugi kayo dyan sa presyo at konting dagdag nalang iphone 16 na o sa mas mura na 15.,0.0,0.0,0.0,1.0
Ang nagustuhan ko lang talaga dyan sa iPhone 16e eh yung battery life at pwede maglaro ng resident evil at assassins creed. Sa camera I can live with it kase ok pa din naman ang kuha.,-0.4939,0.054,0.108,0.837
Can we get a review po ng samsung s9 fe?,-0.5574,0.0,0.286,0.714
16 plus nmn,0.0,0.0,0.0,1.0
iba parin ang samsung Ai,0.0,0.0,0.0,1.0
Kailan release sa pinas?,0.0,0.0,0.0,1.0
Binili nyo na po ba sya as secondary phone? Pede gawa ka ate mary ng full review hehe,-0.5574,0.0,0.175,0.825
Why are u bothered about 60 hz ip 16 also has 60hz,-0.3182,0.0,0.173,0.827
"Nilabas ito ng apple para lang talaga sa mga minimalist phone users. Black and white color, single camera, walang dynamic island at mga abubot. Nakakasura lang yung mga bashers. Hinahanap nila yung features sa 16e na makikita naman nila sa ibang model ng 16 series or sa lower models. Kaya nga special edition. This phone is not for everyone. Yung price lang talaga ang ka bash bash sa phone na ito.",0.4767,0.07,0.029,0.901
We need a full review of that mam,0.0,0.0,0.0,1.0
Are you gonna review A56 of samsung?,0.0,0.0,0.0,1.0
hindi mo na na review si reno 13😭,-0.4767,0.0,0.237,0.763
Xpensive sya for me. Bibili na lng ako ng ip16 na secondhand halos same ng   price.,0.0,0.0,0.0,1.0
Love watching tech reviews that I can't afford 😂 sana all may pambili ng iphone,0.7964,0.309,0.073,0.618
"Hey Chaps! What iPhone are you using?? (or none!)
CORRECTION: iPhone 15 also has a 48MP Main, and the 16 Pro's do have faster wired charging.",0.0,0.0,0.0,1.0
Really don’t understand why every one hates on 60hz? Its really not bad,0.0589,0.184,0.17,0.646
I want fun colours for the pro models,0.5574,0.434,0.0,0.566
I bought an iPhone 13 Pro Max when it first came out and after 2 to 3 years it’s acting like it needs an update or replacement and been considering getting a 16e !! 🤔 ???,0.5609,0.091,0.0,0.909
The beautiful city of Wells!,0.7345,0.674,0.0,0.326
To be honest probably 97% of the people who buy iPhones could care less about the  refresh rate. That is tech reviewers trying to convince people to care about it.,0.8934,0.31,0.0,0.69
"best video i saw about this, thank you!",0.8109,0.551,0.0,0.449
I like iPhone 16 plus :(  anyhow just for personal use :),0.3818,0.316,0.167,0.517
"Wow, Wow...this video is brilliant. It really is. It made me realise that I really don't ever need all this Pro features that I was aiming at. and they are overly expensive. What is important to me is a solid battery, a big screen and a nice camera (but not necessarily a zoom lens). most of my pictures and videos are and will always be taken in medium to well lit environment and up close. I almost never play games and mainly use the phone for the youtube content , online shopping, emails, photos/videos and phone calls, thats it.  So, for all of the above the iPhone 16 Plus ticks all boxes  with flying colours. Hooray !!!... Tnx for the great effort you put to make this well made and very informative videos. Ta.",0.9766,0.187,0.014,0.799
Love your review,0.6369,0.677,0.0,0.323
I've never commented on any review but I have to now. I'm now choosing between 16 and 16Pro. Thank you for ver detailed video! Amazing!,0.876,0.282,0.0,0.718
Honest review love it 😊,0.926,0.73,0.0,0.27
"On your 16 promax that you got the crack into the screen. That is a defect definitely. Take it back to Apple and get a brand new phone ,that should’ve never happened and you can’t go around with a cracked phone.",0.0772,0.061,0.054,0.884
60hz ? No thank you !,-0.3404,0.0,0.325,0.675
Once they put 120hz on the regular model. The pro will be pointless.,0.0,0.0,0.0,1.0
I just got iPhone 📲 16 today 😅,0.3612,0.161,0.0,0.839
I never considered the iphone 16 but after this video I think it’s the one I am getting 😅,0.5023,0.134,0.0,0.866
The only downfall of this device is 60hz which isn’t that bad especially on iOS but they can give 90hz at least I think if they don’t put that or higher in the base 17 some people will switch but some don’t even know better I got my about a week ago it’s nice,0.743,0.124,0.037,0.839
IPhone 16 plus 256 GB is enough for me but more concerned about 60 Hz screen refresh rate or will just wait for iPhone 17,0.0,0.0,0.0,1.0
pro raw max vs heif max is what is the best photo quality for iPhone 16 pro,0.6369,0.208,0.0,0.792
Got the new iPhone 16 on my Birthday today! Pretty good timing if you ask me! 🎉,0.855,0.385,0.0,0.615
Doesn’t it have 3 cameras the iPhone 16,0.0,0.0,0.0,1.0
Teal more beautiful,0.6361,0.677,0.0,0.323
Guys IPhone is just a yearly subscription but it increases by $100 each year,0.0,0.0,0.0,1.0
Get the 16e,0.0,0.0,0.0,1.0
People just be saying they are the same thing every year for no reason,-0.296,0.0,0.145,0.855
Happy Birthday Kyle Kruger🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,0.988,0.708,0.0,0.292
I have the ultra marine color iphone,0.0,0.0,0.0,1.0
3 iPhones are wild 💀,0.0,0.0,0.0,1.0
Iphone is nothing more than a jewelry,0.0,0.0,0.0,1.0
"Next thing you see ""no box""😂",0.4404,0.259,0.129,0.612
Can I have one?,0.0,0.0,0.0,1.0
💀💀💀,0.0,0.0,0.0,1.0
"I’ve been using the XR for the past 2 years, just got the 16 & it’s not much different 🤷🏻‍♂️",0.0,0.0,0.0,1.0
I want the iPhone 16+ in my birthday. Do you know how many gb I want 512 GB,0.1531,0.14,0.0,0.86
"""This is the new base model iPhone... OH GOD!"" got me rolling on the floor 😂😂😂
































""I was fine with no charger brick BUT NO STICKERS?""",0.2404,0.213,0.194,0.592
i have the black one,0.0,0.0,0.0,1.0
"I had the 13 pro for over 2 years and wanted a new phone so decided to go with the 16. the second I started using it I waned my money back. I'm telling you guys... don't get a 60hz phone when you're used to 120hz, it's the worst thing ever!",-0.6588,0.0,0.081,0.919
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0.9909,0.437,0.218,0.345
Bro it's literally the same thing just an ugly model cuz they kinda stole OnePluses model cuz it.looks better,-0.1027,0.125,0.142,0.733
I went from a iPhone 12 and got a iPhone 16 blue and omg I’m so in love I definitely do see a difference in performance. I not in to big phone so the 16 is perfect 🤩,0.8974,0.237,0.0,0.763
People keep talking about screen refresh rate like it is the end of the world …justt give it 2 weeks and you will get used to it … i know that iphones are generally overpriced but 120hz wouldnt justify the price by any means …this phone is capable due to its powerful hardware(processor Ram battery camera ) and fine software (dynamic island integration with a lot of apps..navigation through phone ..connection with other apple products …then someone come and say if onllllly it had this mf 120hz,0.9253,0.15,0.0,0.85
"For someone like me who isn’t going to be playing these high quality mobile games, how will the 60hz actually effect me",0.5106,0.177,0.0,0.823
"I have been debating what iPhone to switch to (currently on the SE 2). I thought the 16e would suffice, but after this review and a few others, I will be getting the 16. Both are better than my SE 2, but I want a great camera, mag safe and the pretty blue color.",0.9643,0.28,0.0,0.72
First video to watch on the channel. Good review thank you. Bro kinda looks like davie504.,0.7665,0.37,0.0,0.63
"Automatic downvote for the ""I'll tell you at the end of the video"" about forty times. Just tell me bro. Stop trying to trick me into watching the whole thing.",-0.34,0.0,0.108,0.892
Niiiice your iPhone has the SIM card tray I’m trying to find one to buy online but all I’ve found is this Canadian site that isn’t user friendly to navigate lol,0.8402,0.216,0.0,0.784
Even the Samsung s24 is better than the i16,0.4404,0.266,0.0,0.734
Tesla😂😂😂,0.8271,0.421,0.21,0.369
Well darn. Wish I had seen this before I bought the 16 pro.,0.5859,0.304,0.0,0.696
Had no idea Jay from Inbetweeners went into vlogging,-0.296,0.0,0.216,0.784
What video game is this ?,0.0,0.0,0.0,1.0
I can't believe you are trying to justify 60Hz refresh rate on a flagship phone and that useless inconvenient camera control button.,-0.5859,0.055,0.203,0.742
I switched from 11 to 16 the blue colours and this phone feels like the old but bigger camera and faster,0.1901,0.08,0.0,0.92
I could not go back to 60 hz anymore.,0.0,0.0,0.0,1.0
"possibly the best base model iPhone since the 13, unless Apple releases the 17 with Pro-Motion",0.6369,0.219,0.0,0.781
I struggle to understand some of what this guy is saying. He sounds like a Spaniard speaking English with an American accent but I keep missing some words.,-0.4019,0.056,0.143,0.801
"7:03 I think 8k 120fps is more worth it than spacial video.
Spacial videos got some sort of lag, and the resolution is not great at all.",-0.5851,0.068,0.186,0.746
Why don't they have dual sim slot?😢,-0.4767,0.0,0.279,0.721
"I'm comparing the iPhone 16, 16 Plus and 16Pro on the Apple Australia site, and the Pro wins by a mile.
1 .. iPhone 16 A$1399, A18 chip, Aluminium & glass body, 6.1"" display, 460 Pixels/inch, 22hrs vid playback, 18hrs vid stream, 80hrs Audio, .5 -2X Optical Zoom, USB C2, 170g.
2 .. iPhone 16 Plus A$1599 (A$200 more), 6.7"" display, 27hrs vid playback, 24hrs vid streamed, 100hrs Audio, 199g.
3... iPhone 16 Pro, A$1799 (A$400 more than 16), A18Pro chip, Titanium textured mat glass back, 6.3"" display, 27hrs vid playback, 22hrs vid streamed, 85hrs Audio, .5 - 5X Optical, USB C3, 4 microphones, 120Hz, always on.display
I downgraded from an iPhone 12 Pro Max to an iPhone 13 mini (and love it) which by all accounts is shitty compared to the modern counterparts.
If I WANTED to upgrade, I'd save up for the iPhone 16 Pro.",0.8176,0.07,0.023,0.907
Are there any iPhone 16 features I am forgetting 🤔 SUBSCRIBE if you like tech!,0.4199,0.157,0.0,0.843
Basically apple just took the iPhone 15 and added a camera button and called it iPhone 16 and charged another 100 bucks.,-0.2023,0.0,0.079,0.921
For extra $100 I’d rather have the 16 pro ohh I do a white one 😜,0.0,0.0,0.0,1.0
Just buy the 16 pro in 2 or 3 years,0.0,0.0,0.0,1.0
Boy I bought 16 yesterday and why are you saying this now😒 of course i don’t regret,-0.4215,0.0,0.135,0.865
"60hz display on that welfare model you bought. No one bought that phone bro. It’s honestly a legend, I have never seen one in my life. Everyone was sold a pro or pro max with a 120hz refresh rated screen. You’re the only one with that broke boy phone. Literally never saw one in real life. 800$ and for 100$ more you could have gotten what you actually wanted 😂😂😂",0.7717,0.144,0.107,0.749
"Do not buy iPhone, buy Samsung S series. I regret that I bought iP 15 😢",-0.7096,0.0,0.282,0.718
Premature celebration.,0.0,0.0,0.0,1.0
"lol, I just bought an iPhone 16 😂",0.6908,0.377,0.109,0.514
😂😂😂 do you think I'm f****** care,0.8979,0.426,0.166,0.408
Umm my dad got it for my sister and she traded her other phone for an iPhone 16 so once my dad bought it it cost like 300 idk but it’s cheaper than whatever you said but yes I know why it’s cheaper it’s cause my sister traded her other phone,0.6249,0.097,0.022,0.881
"Apple knows this. That last year pro models are better than this year's base model. If you go on their website, the last year's pro model is oddly missing.",0.1779,0.09,0.069,0.841
Womp womp. I have it😏,0.0,0.0,0.0,1.0
Bro I jst upgraded from a Samsung to the 16 let me enjoy it in peace 😭,0.5574,0.26,0.12,0.62
"I actually bought my first iPhone in February 8 2025,we got it for 138 just because at&t where having a sale,the monthly bill in 11 dollars a month,how cool is that?And I rate the phone a 10/10'",0.3182,0.06,0.0,0.94
The iphone 15 pro doesnt have 120hz display on the website. Thats false,0.0,0.0,0.0,1.0
The 15 pro doesn’t have apple intelligence in Germany unfortunately,0.1779,0.23,0.178,0.593
Too late,0.0,0.0,0.0,1.0
I’m watching this video in my iPhone 16,0.0,0.0,0.0,1.0
"""this turbo flex pro 2nd generation ball is much better then this 5th generation turbo flex base model because look at all these features *lists all features that ofc pro model would have and ingores other advantages*""",0.6597,0.134,0.0,0.866
"Guys, I need you to help me choose between the iPhone 16e or iPhone 15. Which one is better?",0.6808,0.248,0.0,0.752
iPhone 16e is even faster than the 16 Pro Max …. If you don’t care about iPhone’s 60fps because it is smooth and if you have a tight budget then probably got for this for gaming because faster speed,0.4939,0.078,0.0,0.922
"It's not just iphone 16 has ultrawide camera but the main camera is far better than main single camera of 16e. Just because both are 48mp doesn't mean it would be same that's because 16e uses ultrawide camera but tuned to be main camera. The issue with that is regardless of resolution ultrawide camera tend to not give details same as main camera even if main camera is not 48mp while ultrawide is. 16e camera has all the issues of a ultrawide camera in both photo mode and video modes. Also just because I said 16e main camera is 48mp ultrawide tuned to be main camera doesn't mean it's actually using ultrawide from 16 series, it's actually older 48mp ultrawide from older iphone had which means it's even worse than ultrawide from 16 series",-0.0772,0.027,0.03,0.943
"useless massive screens 
swipe up is a big BS 
iphone 6/7/8 were the best",0.34,0.221,0.147,0.632
Please compare pubg Speed,0.3182,0.434,0.0,0.566
Please pubg Speed test 😢 I'm your fan but some time  I see your vedios .you not compare pubg 😢,0.5546,0.249,0.077,0.675
"iPhone 17,5 Xfinity ?",0.0,0.0,0.0,1.0
"If you are with T-mobile and also a Costco member, now you get a full $500 trade-in credit (for most phone like iphone 11 or later, Samsung S10 or later) at Costco Tmoible kiosk (depends on your plan), plus $100 Costco GC per line, the activation charge is always waived at Costco. Max is 4 lines per account. Just got 3 x Pro 256GB, 1 x Blue Plus 256GB (have 3 x Pro Max already, really don't like Pro Max, heavy, big).",0.457,0.062,0.028,0.91
No 1 likes apple 🤢,-0.5472,0.0,0.531,0.469
Apple prioritizes the performance and build quality which I love the most...,0.6369,0.276,0.0,0.724
Apple is  looking for some customers not for all. Their Budgets phone prices almost matched higher in others.,0.0,0.0,0.0,1.0
I love Apple Products...❤❤❤,0.9571,0.737,0.0,0.263
The island,0.0,0.0,0.0,1.0
Nothing 3a pro vs iphone 16 e speedtest,0.0,0.0,0.0,1.0
